I0531 09:13:08.755711       1 policy_controller.go:171] PolicyController "msg"="policy created" "kind"="ClusterPolicy" "name"="disallow-selinux" "uid"="5e737655-e6ee-446d-a90e-6f0f4666d71c"
I0531 09:13:08.791640       1 policy_controller.go:171] PolicyController "msg"="policy created" "kind"="ClusterPolicy" "name"="restrict-apparmor-profiles" "uid"="8f9a2e8e-787f-4930-97ea-54bc82d398c2"
I0531 09:13:08.802608       1 policy_controller.go:171] PolicyController "msg"="policy created" "kind"="ClusterPolicy" "name"="disallow-capabilities" "uid"="7a91eb58-5f89-4223-93c1-cfcfbdbabdf7"
I0531 09:13:08.811954       1 policy_controller.go:171] PolicyController "msg"="policy created" "kind"="ClusterPolicy" "name"="disallow-host-namespaces" "uid"="d597af9a-03f5-4316-a4f7-122de0d712c3"
I0531 09:13:09.666696       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:09.666707       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:10.673602       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:10.673651       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:11.674823       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:11.674853       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:12.675489       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:12.675507       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:13.675672       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:13.675667       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:14.676896       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:14.676896       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:15.679961       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:15.680063       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:16.681136       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:16.681154       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:17.681889       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
